Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
53,x2/1/2011,32.86015799,-110.2658607,dc56a216-b4ef-4342-8e26-18f490aba686,Jakes Pasture,03-05-04-00408-08A-K01,,44e5d6c2-929e-4433-9ae0-495e40a3d484,
54,x2/1/2011,32.84822029,-110.2667391,dc56a216-b4ef-4342-8e26-18f490aba686,Jakes Pasture,03-05-04-00408-08A-K02,,0178e4d4-c6f5-43e3-842a-cc4920f26413,
55,x1/12/2011,32.85961764,-110.2154734,dc56a216-b4ef-4342-8e26-18f490aba686,Jakes Pasture,03-05-04-00408-08A-K03,,2f70b693-129a-437b-a564-8ee573107782,
56,x11/22/2010,32.5071392,-110.7790952,b82f498e-a1f1-4e6c-b309-196dbcdd2a4c,Wild Cow Pasture,03-05-05-00503-001-C02,,35e4b483-1d7a-4961-882c-8cabc01f7eeb,4930
57,x10/6/2011,31.59290897,-110.6317088,72127e16-d82d-4d38-a8f0-19cde1fa3120,West Mountain Pasture,03-05-03-00334-007-C01,,635c81e4-5434-4dfc-8d5f-990a09dd1847,5339
58,x10/5/2009,31.41054767,-111.1639583,14bc9059-ab12-4366-9341-1a1e2def9a71,Road Pasture,03-05-02-00208-001-C05,,3a092215-3d2b-41cd-8890-bdc5249b8040,4253
59,x10/18/2010,31.35032298,-110.77726,8d9fd2f4-c644-440e-a0ba-1a8a9939b00f,North Piedragosa Pasture,03-05-03-00353-003-C02,,a90f8879-9b3b-4e14-90bd-691fdb6e0ff0,4419
60,x11/10/2010,32.49562814,-109.8304513,e396a9dd-0bc9-4957-b661-1ba559852830,Horse Pasture,03-05-04-00452-52B-K03,,e5ed51b6-e9d2-4579-b8b8-4fa7f7968216,
61,x10/17/2020,32.27451337,-110.6593931,29bd9a76-41e5-4f53-943a-1c0bb11bc23a,Cummings Pasture,03-05-05-00504-012-C03,From shapefile,072aa628-bcef-4a3f-992d-5d07b2bf33a4,
62,x10/16/2020,32.56361836,-109.7512267,94b02882-6982-4541-a4bf-1d5a67e29549,East Pasture,03-05-04-00417-17I-K01,From Shapefile,85c58a9d-59cf-41ee-90d3-82b96c42b543,
63,x9/23/2020,31.50417283,-111.3655419,a2053e6a-a8dd-4b32-82cb-1e17d8b074b2,Jarillas Pasture,03-05-02-00203-010-C06,From Site Notes,fdc15f6b-43f5-43ac-8b42-cd2c11903acf,4226
64,x9/21/2020,31.92640124,-109.1902986,c122581b-ad3e-4a34-a478-1ec30708a88a,Upper Silver Creek Pasture,03-05-01-00102-202-C03,T1,6061615e-5b48-4dcd-94fe-d4bb7f17006e,5554
65,x10/3/2011,32.59473984,-109.7289625,2deaa887-e733-4121-834d-1ef494194adf,Gillespie Mountain Pasture,03-05-04-00417-17F-K01,,b1bc8af3-22c0-4fe9-b3b7-ba4cddd20713,
66,x1/6/2011,32.51631383,-110.2208548,d1b8752f-85f0-48f8-93de-1f033d8b3a5c,Bull Tank Pasture,03-05-04-00434-34C-K01,,83b3364d-a357-40e0-b715-98b72435f804,
67,x1/10/2011,32.44665747,-110.1883265,1983e6f2-080b-42ce-8e82-1f60d6d369ff,Pasture 3,03-05-04-00437-37C-K03,,0b3ba1a2-2580-4678-a9a4-08aadeae0b4d,
68,x10/17/2020,32.44244649,-110.8591049,1c27bbff-3fc0-451b-ba5c-1f82dd80ce4f,Cargodera Pasture,03-05-05-00513-002-C02,From Site Notes,a517cd36-711c-4752-80b1-da1cb2adfeed,
69,x1/12/2004,31.36946389,-110.9947106,82d9c32d-a915-4ee1-a9dc-21250f9b51d5,Potrero Pasture,03-05-02-00216-004-C01,,d9a56dd0-def3-47f4-bd65-ca4ff23b4fd8,3934
70,x9/22/2020,31.38359319,-110.9904398,82d9c32d-a915-4ee1-a9dc-21250f9b51d5,Potrero Pasture,03-05-02-00216-004-C03,From Shapefile,b0ed7586-3cc9-440c-9000-7a57aab18bbb,
71,x9/29/2010,31.78849774,-109.4253493,0eca4ecf-2f45-4e91-868b-2137c005d2e3,Bull Pasture,03-05-01-00114-14S-C02,Reference Stake,2e24189c-1824-45bf-8aea-c57b42d66c11,5795
72,x9/19/2020,31.67811713,-109.4047156,571a5ea9-a094-44a5-9de7-227d1ec5c37d,Holding Pasture,03-05-01-00123-237-C05,From Site Notes,2aefc437-2877-41cc-b914-97c1746c47cf,
73,x12/7/2010,32.56916873,-110.221293,2bf49f06-fce2-44de-818e-23306bd615f7,Lower Pasture,03-05-04-00432-32B-K01,,45b47933-336d-441d-abfc-f418d76b5b94,
74,x9/21/2020,31.93331019,-109.2036173,cfeab772-3f8e-456a-84e3-233f8d3ee9fc,Cemetery Pasture,03-05-01-00102-205-C02,T1,32d9b963-438f-44f0-8402-f1d5bd637a8a,5521
75,x9/14/2020,31.65693643,-109.4047085,b1b8c726-2e60-4e70-89a0-234a8f73ea19,Box Pasture,03-05-01-00122-222-C02,From Shapefile,83335644-cc91-453f-a070-6d500330ac3c,5000
